Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PyS.A,PyS.G,PyS.T,PyS.B,PyS.M,PyS.R,D.V,D.I,D.S,D.F,D.O,D.N,H.f,H.o
Prunella_rubeculoides,8.35,3.7,3.425,80.75,23.8,26.43,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Prunella_strophiata,7.1,3.65,3.4,66,20.3,18.2,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Psarisomus_dalhousiae,15.9,12.925,9.5,101,27.7,67,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Pseudopodoces_humilis,20.96,4.755,6.345,91.5,29.6,45.5,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Psittacula_alexandri,26.04,15.605,25.54,169,15.89,150.5,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Psittacula_cyanocephala,19.645,11.795,18.66,140.5,12.185,62,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Psittacula_eupatria,35.835,21.295,38.79,224,19.08,228,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Psittacula_finschii,21.6,13.325,19.77,147.35,14.815,89.46,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Psittacula_himalayana,22.945,14.04,21.38,164.55,14.9,110.9,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Psittacula_krameri,25.2,14.64,21.215,165.4,18.72,119,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Psittacula_roseata,19.71,11.15,19.51,143.7,11.51,74.31771,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Pteruthius_flaviscapis,9.68,5.273333333,6.236666667,83,26.98333333,39,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Pteruthius_melanotis,5.34,3.253333333,3.97,60.33333333,19.56666667,13.3,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Pteruthius_rufiventer,9.8,4.88,6.385,88,28.525,44.5,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Pteruthius_xanthochlorus,5.045,3.355,3.69,61.5,20.6,14.3,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Ptyonoprogne_rupestris,5.4,4.8,2.75,137,11.85,20.4,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Pycnonotus_cafer,10.635,5.035,5.305,104.5,26.285,32.9,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Pycnonotus_flaviventris,8.795,4.21,4.485,91.25,16.925,27.75,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Pycnonotus_jocosus,10.12,4.56,5.02,85.75,21.785,29.55,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Pycnonotus_leucogenys,9.92,4.23,4.815,88.75,21.985,36,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Pycnonotus_leucotis,NA,NA,NA,NA,NA,23,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Pycnonotus_striatus,10.06,4.885,5.335,109.75,19.715,52.5,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Pyrrhocorax_graculus,23.3125,9.505,9.9325,279.75,44.87,211.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Pyrrhocorax_pyrrhocorax,46.195,11.775,12.1975,303.75,50.42,287.5,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Pyrrhoplectes_epauletta,8.825,6.65,7.1,78,20,19,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Pyrrhospiza_punicea,12.28,8.415,8.925,101.5,25.455,46.75,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Pyrrhula_aurantiaca,7.9875,7.625,7.7125,82.375,16.7625,19.5,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Pyrrhula_erythaca,8.6,8.35,8.65,83,18.7,19,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Pyrrhula_erythrocephala,8.585,9.02,8.995,81.05,17.605,22.8,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Pyrrhula_nipalensis,9.705,10.125,9.845,88,17.07,24.6,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Regulus_regulus,6.1,2.46,2.05,58.25,17.7,5.55,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Rhipidura_albicollis,7.476666667,4.106666667,2.9,78,20.43666667,12.9,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Rhipidura_aureola,8.315,4.465,3.15,87.1,19.29,11.2,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Rhyacornis_fuliginosa,6.65,3.075,3,75.6,23.9,20.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Rimator_malacoptilus,17.65,2.9,3.35,60.5,24.5,19.5,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Riparia_chinensis,5.025,3.475,2.25,90.75,10.95,13.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Saroglossa_spiloptera,15.885,6.105,5.48,109.1,22.74,47.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Sasia_ochracea,11,3.945,4.7,54,13.35,9.7,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Saxicola_caprata,7.475,3.475,3.775,67.5,20,15.2,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Saxicola_ferreus,7.72,3.8,3.71,67.1,22.55,14.8,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Saxicola_jerdoni,8.15,3.75,3.55,66,23.05,15.3,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Saxicola_leucurus,7.7,3.825,3.5,70,22.85,15.3,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Saxicola_macrorhyncha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxicola_torquatus,7.41,3.24,3.26,66.3,21.2,15.8,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Saxicoloides_fulicatus,9.85,4.04,3.9,72.95,25.855,16.6,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Schoeniparus_castaneceps,6.6,2.281818182,2.754545455,57.45454545,22.2,12.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Schoeniparus_cinerea,6.925,2.675,2.8,54.5,20.3,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Schoeniparus_dubia,7.15,2.95,3.9,62,22.95,17.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Schoeniparus_rufogularis,7.6,2.9,3.725,60.5,23.5,17.3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Scolopax_rusticola,NA,NA,NA,NA,NA,308.3333333,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Seicercus_affinis,7.38,3.095,2.84,56.5,16.925,7.95,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Seicercus_burkii,7.295,3.39,2.635,59.6,19.845,7.3,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Seicercus_castaniceps,5.1,2.35,2.38,28.35,16.3,5.3,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Seicercus_poliogenys,6.83,3.13,2.57,51.2,17.32,6.3,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Seicercus_whistleri,7.35,3.145,2.755,58.25,19.075,7.3,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Serilophus_lunatus,12.05,9.575,6.85,85,19.7,34,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Serinus_pusillus,6.7,5.18,5.41,75.15,14.34,11.6,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Serinus_thibetanus,NA,NA,NA,NA,NA,10.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0
